ubigeo,iddpto,idprov,n_facilities_total,n_emergency_active,n_emergency_structural,camas_total,n_public,n_private,n_ccpp_baseline,dist_median_m_baseline,dist_median_m_alternative,pct_ccpp_gt5km_baseline,pct_ccpp_gt20km_baseline,pct_ccpp_gt5km_alternative,pct_ccpp_gt20km_alternative,susalud_latest_year,susalud_atenciones,susalud_atendidos,facility_density_baseline,activity_per_ccpp_baseline,comp_facility_baseline,comp_activity_baseline,comp_access_baseline,hadi_baseline,hadi_quintile_baseline,facility_density_alternative,activity_per_ccpp_alternative,comp_facility_alternative,comp_activity_alternative,comp_access_alternative,hadi_alternative,hadi_quintile_alternative,quintile_shift,classification_change
160107,16,1601,9,1,1,0,9,0,106.0,46989.0,46895.0,98.11,83.96,98.11,83.96,2026.0,751,751,0.9433962264150944,7.084905660377358,0.5005350454788657,0.17067950775815943,0.9010165864098448,0.5241,Q3,0.9433962264150944,7.084905660377358,0.4534510433386838,0.17067950775815943,0.9523809523809523,0.5255,Q3,0,same
170101,17,1701,16,2,4,131,12,4,70.0,18547.0,18046.0,85.71,47.14,85.71,47.14,2026.0,11706,11160,2.857142857142857,167.22857142857143,0.3552701979668272,0.06527554842161584,0.8210272873194222,0.4139,Q3,5.714285714285714,167.22857142857143,0.10567148207597646,0.06527554842161584,0.8951310861423221,0.3554,Q2,-1,improved 1
160303,16,1603,5,0,1,0,5,0,89.0,77742.0,64908.0,100.0,100.0,95.51,89.89,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),1.1235955056179776,0.0,0.42241840556447297,0.695024077046549,0.9646869983948636,0.694,Q4,-1,improved 1
250401,25,2504,8,0,1,0,8,0,64.0,231815.0,27377.0,100.0,100.0,90.62,65.62,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),1.5625,0.0,0.34563937934724454,0.695024077046549,0.9315141787051899,0.6574,Q4,-1,improved 1
160804,16,1608,2,0,0,0,2,0,28.0,148187.0,135225.0,100.0,100.0,100.0,100.0,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),0.0,0.0,0.7835741037988229,0.695024077046549,0.9882289994649546,0.8223,Q5 (Worst),0,same
160305,16,1603,6,0,1,0,6,0,158.0,54924.0,50353.0,100.0,94.3,96.2,89.24,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9218833600856072,0.7983,Q4,0.6329113924050633,0.0,0.5152487961476726,0.695024077046549,0.962011771000535,0.7241,Q4,0,same
250104,25,2501,18,3,1,0,18,0,129.0,21587.0,27750.0,87.6,53.49,95.35,62.79,2026.0,30,29,2.3255813953488373,0.23255813953488372,0.38362760834670945,0.30765115034777957,0.8362760834670947,0.5092,Q3,0.7751937984496124,0.23255813953488372,0.4860888175494917,0.30765115034777957,0.9256286784376672,0.5731,Q3,0,same
250201,25,2502,16,4,1,0,15,1,214.0,15205.0,29690.0,90.65,34.58,95.79,66.36,2026.0,289,104,1.8691588785046727,1.3504672897196262,0.4173354735152488,0.23060460139111824,0.7907972177635099,0.4796,Q3,0.46728971962616817,1.3504672897196262,0.5398608881754949,0.23060460139111824,0.9336543606206528,0.568,Q3,0,same
160102,16,1601,4,0,1,0,4,0,60.0,55737.0,32583.0,100.0,100.0,95.0,68.33,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),1.6666666666666667,0.0,0.32878544676297483,0.695024077046549,0.9357945425361156,0.6532,Q4,-1,improved 1
160403,16,1604,6,0,2,0,5,0,107.0,59505.0,25687.0,100.0,100.0,85.05,59.81,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),1.8691588785046727,0.0,0.3028357410379882,0.695024077046549,0.9176029962546817,0.6385,Q4,-1,improved 1
170301,17,1703,5,0,0,0,5,0,7.0,53582.0,53582.0,100.0,100.0,100.0,100.0,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),0.0,0.0,0.7835741037988229,0.695024077046549,0.9882289994649546,0.8223,Q5 (Worst),0,same
160302,16,1603,3,0,1,0,3,0,51.0,55091.0,15154.0,100.0,100.0,92.16,25.49,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),1.9607843137254901,0.0,0.2926698769395399,0.695024077046549,0.8341359015516319,0.6073,Q4,-1,improved 1
160304,16,1603,3,1,1,17,3,0,68.0,72724.0,72724.0,89.71,77.94,89.71,77.94,2016.0,4999,3368,1.4705882352941175,73.51470588235294,0.45719636169074374,0.09416800428036383,0.8913857677902621,0.4809,Q3,1.4705882352941175,73.51470588235294,0.3595505617977528,0.09416800428036383,0.9438202247191011,0.4658,Q3,0,same
160706,16,1607,9,0,0,0,9,0,115.0,115728.0,127833.0,100.0,100.0,100.0,100.0,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),0.0,0.0,0.7835741037988229,0.695024077046549,0.9882289994649546,0.8223,Q5 (Worst),0,same
250101,25,2501,63,14,22,288,34,29,148.0,15433.0,19734.0,89.86,33.11,93.92,49.32,2026.0,60976,22327,9.45945945945946,412.0,0.13001605136436598,0.04654895666131621,0.7865168539325843,0.321,Q2,14.864864864864865,412.0,0.047619047619047616,0.04654895666131621,0.8983413590155164,0.3308,Q2,0,same
160402,16,1604,7,0,1,0,7,0,91.0,143730.0,19803.0,100.0,100.0,94.51,49.45,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),1.098901098901099,0.0,0.4291064740502943,0.695024077046549,0.898876404494382,0.6743,Q4,-1,improved 1
160801,16,1608,3,0,1,0,3,0,50.0,119490.0,36838.0,100.0,100.0,90.0,72.0,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),2.0,0.0,0.28785446762974853,0.695024077046549,0.9390048154093098,0.6406,Q4,-1,improved 1
160511,16,1605,2,0,1,0,2,0,23.0,110264.0,40244.0,100.0,100.0,82.61,65.22,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),4.3478260869565215,0.0,0.13456393793472446,0.695024077046549,0.9299090422685928,0.5865,Q3,-2,improved 2
160601,16,1606,6,1,1,17,6,0,109.0,18889.0,18088.0,91.74,48.62,91.74,43.12,2026.0,17,8,0.9174311926605505,0.1559633027522936,0.5032102728731942,0.3258426966292135,0.826645264847512,0.5519,Q3,0.9174311926605505,0.1559633027522936,0.4579989299090423,0.3258426966292135,0.8849652220438737,0.5563,Q3,0,same
160704,16,1607,9,0,0,0,9,0,81.0,52685.0,49670.0,100.0,97.53,100.0,100.0,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.92776886035313,0.8002,Q5 (Worst),0.0,0.0,0.7835741037988229,0.695024077046549,0.9882289994649546,0.8223,Q5 (Worst),0,same
